fullname,code,tel,shortname
俄罗斯(TRANSAERO)航空,UN,,TRANSAERO航空
哈萨克斯坦航空公司,K4,,哈萨克斯坦航空
MYANMAR,8M,,MYANMAR
临时航班,ZZ,,临时航班
东海航空公司,J5,,东海航空
老挝航空公司,QV,,老挝航空
阿联酋阿提哈德航空公司,EY,,阿提哈德航空
马达加斯加航空公司,MD,,马达加斯加航空
津巴布韦航空公司,UM,,津巴布韦航空
中飞通用航空公司,CF,,中飞通用航空
瑞士航空公司,SR,,瑞士航空
河南航空公司,VD,,河南航空
美国包裹快递航空公司,5X,,美国包裹快递
泰国东方航空公司,OX,,泰国东方航空
中国南方航空公司,CZ,,南方航空
中国东方航空公司,MU,,东方航空
法国航空公司,AF,,法国航空
中国上海航空公司,FM,,上海航空
中国厦门航空有限公司,MF,,厦门航空
南韩韩亚航空公司,OZ,,南韩韩亚航空
俄罗斯航空公司,SU,,俄罗斯航空
扬子江快运航空有限公司,Y8,,扬子江快运
日本航空公司,JL,,日本航空
中华航空公司,CI,,中华航空
肯尼亚航空公司,KQ,,肯尼亚航空
中国国际航空公司,CA,,中国国际航空
深圳航空公司,ZH,,深圳航空
卡塔尔航空公司,QR,,卡塔尔航空
新加坡航空公司,SQ,,新加坡航空
中国山东航空公司,SC,,山东航空
新加坡飞虎航空公司,TR,,新加坡飞虎航空
泰国航空公司,TG,,泰国航空
曼谷航空公司,PG,,曼谷航空
南韩大韩航空公司,KE,,南韩大韩航空
鹰联航空公司,EU,,鹰联航空
马来西亚航空公司,MH,,马来西亚航空
埃及航空公司,MS,,埃及航空
中国联合航空公司,KN,,联合航空
土耳其航空公司,TK,,土耳其航空
阿联酋国际航空公司,EK,,阿联酋国际航空
邮政航空公司,8Y,,邮政航空
吉祥航空公司,HO,,吉祥航空
沙特阿拉伯航空公司,SV,,沙特阿拉伯航空
台湾长荣航空公司,BR,,台湾长荣航空
美国联邦快递航空公司,FX,,美国联邦快递
埃塞俄比亚航空公司,ET,,埃塞俄比亚航空
国营印度尼西亚鹰航空公司,GA,,印尼鹰航
河北航空公司,NS,,河北航空
中国香港港龙航空公司,KA,,香港港龙航空
国泰(太平洋)航空公司,CX,,国泰航空
越南航空公司,VN,,越南航空
澳大利亚快达航空公司,QF,,澳洲快达航空
中国海南航空公司,HU,,海南航空
亚洲航空公司,AK,,亚洲航空
新加坡捷星航空公司,3K,,捷星航空
奥凯航空公司,BK,,奥凯航空
中国四川航空公司,3U,,四川航空
顺风航空公司,O3,,顺风航空
德国汉莎航空公司,LH,,汉莎航空
乌拉尔航空公司,U6,,乌拉尔航空
泰国亚洲航空公司,FD,,泰国亚洲航空
荷兰马丁航空公司,MP,,荷兰马丁航空
全日空公司,NH,,全日空
首都航空公司,JD,,首都航空
菲律宾宿务太平洋航空公司,5J,,宿务太平洋航空
三角航空公司,DL,,三角航空
斯里兰卡航空公司,UL,,斯里兰卡航空
西部航空公司,PN,,西部航空
亚美利加航空公司,AA,,亚美利加航空
春秋航空公司,9C,,春秋航空
重庆航空公司,OQ,,重庆航空
荷兰皇家航空公司,KL,,荷兰皇家航空
军航飞机,OM,,军航飞机
菲律宾航空公司,2P,,菲律宾航空
成都航空,EU,,成都航空
顺丰航空,O3,,顺丰航空
长龙货航,GJ,,长龙货航
昆明航空,KY,,昆明航空
阿酋国际航空,EK,,阿酋国际航空
新加坡欣丰虎,TR,,新加坡欣丰虎
捷星亚洲航空公司,3K,,捷星亚洲航空
泰国国际航空公司,TG,,泰国国际航空
缅甸航空公司,8M,,缅甸航空
